zip,city,state,county,latitude,longitude,10_year_price,5_year_price,current_price,10_year_growth,5_year_growth
33890,Zolfo Springs,FL,Hardee,27.48,-81.7423,"68,907.00","99,014.00","131,832.00",0.91,0.33
33540,Zephyrhills,FL,Pasco,28.2151,-82.1506,"96,201.00","129,341.00","221,273.00",1.30,0.71
33541,Zephyrhills,FL,Pasco,28.2311,-82.2057,"116,951.00","160,064.00","260,263.00",1.23,0.63
33542,Zephyrhills,FL,Pasco,28.2303,-82.1779,"69,435.00","90,277.00","169,011.00",1.43,0.87
33849,Kathleen,FL,Polk,28.1975,-82.0396,"128,996.00","197,834.00","311,436.00",1.41,0.57
32798,Zellwood,FL,Orange,28.7194,-81.5762,"85,675.00","125,083.00","205,320.00",1.40,0.64
32097,Yulee,FL,Nassau,30.6222,-81.5906,"140,223.00","194,787.00","285,453.00",1.04,0.47
32466,Youngstown,FL,Bay,30.3269,-85.5169,"138,796.00","155,177.00","214,729.00",0.55,0.38
32697,Worthington Springs,FL,Union,29.9315,-82.4255,"51,146.00","72,421.00","92,802.00",0.81,0.28
32708,Winter Springs,FL,Seminole,28.6831,-81.2814,"158,841.00","237,874.00","340,336.00",1.14,0.43
32789,Winter Park,FL,Orange,28.5978,-81.3534,"282,521.00","435,751.00","585,887.00",1.07,0.34
32792,Winter Park,FL,Orange,28.5974,-81.3036,"133,827.00","210,682.00","327,375.00",1.45,0.55
33880,Winter Haven,FL,Polk,27.9873,-81.7625,"78,795.00","116,207.00","201,548.00",1.56,0.73
33881,Winter Haven,FL,Polk,28.0452,-81.7325,"88,483.00","119,368.00","206,254.00",1.33,0.73
33884,Winter Haven,FL,Polk,27.981,-81.6736,"124,779.00","167,351.00","250,820.00",1.01,0.50
33598,Wimauma,FL,Hillsborough,27.7015,-82.3151,"171,556.00","226,341.00","303,145.00",0.77,0.34
32696,Williston,FL,Levy,29.3977,-82.4856,"87,108.00","119,582.00","154,167.00",0.77,0.29
32821,Orlando,FL,Orange,28.3957,-81.4666,"115,093.00","187,476.00","274,402.00",1.38,0.46
32096,White Springs,FL,Hamilton,30.3387,-82.7765,"54,854.00","85,016.00","113,880.00",1.08,0.34
